file,acc,f1
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-cnn.txt,0.843,0.505
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-base.txt,0.828,0.525
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-basic.txt,0.831,0.544
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-f.txt,0.832,0.546
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sent-conn-mask-f.txt,0.826,0.517
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sent-conn-mask-interturn.txt,0.834,0.551
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sent-conn-mask-mid.txt,0.829,0.553
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sent-conn-mask-turn-noenc.txt,0.837,0.557
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sent-conn-mask-turn.txt,0.837,0.552
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sent-conn-mask.txt,0.838,0.565
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sf.txt,0.834,0.558
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-lstm.txt,0.831,0.515
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_combo.txt,0.821,0.531
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_only-cnn.txt,0.811,0.263
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_only-higru-base.txt,0.79,0.403
_addn_features_all_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_only-higru-basic.txt,0.787,0.376
_addn_features_none_alpha_0.75_bert_train_0_dataset__don_model_4_epochs_100_interpret_single_loss_label_type_resistance_ldm_1_lr_0.0001_sec_loss_mse_seed_11747_type_bert-higru-no.txt,0.023,0.006
_addn_features_none_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-base-no.txt,0.829,0.509
_addn_features_none_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-base.txt,0.824,0.521
_addn_features_none_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-basic.txt,0.833,0.554
_addn_features_none_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-f.txt,0.837,0.56
_addn_features_none_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_bert-higru-sf.txt,0.833,0.556
_addn_features_none_bert_train_0_dataset__epochs_100_label_type_resistance_lr_0.0001_seed_11747_type_only-higru-sf.txt,0.802,0.443
