,Turn,Text,True,Pred
0,0,I'm very interested in renting this location.,0,0
1,0,"It is a great location, and the unit is spacious and beautiful! 4 Bedroom, 2 bath",0,0
2,0,"Sounds nice, my wife has one on the way. How are the schools there? It's a bit too far from work...",5,0
3,0,There is easy access to FWY 880 and Dumbarton Bridge -,0,0
4,0,I heard a terrorist attack happened a few blocks away from there.,1,0
5,0,"This is a quiet community normally. And yes, there was an incident recently. However, our mayor has encouraged gun ownership by legal residents, and has promised not to prosecute any citizens who take out bad guys as needed, so we feel this is a great place to live.",0,0
6,0,"Personally, I'd like to live near work, but the wife you know... I got a place lined up for 2,000 a month, so there's a very wide gap here between what you are asking.",4,4
7,0,Do you believe in the right to self-defence? This is a great perk to living in the community. I can work with you on price some.,2,4
8,0,"Sounds really great, but with the extra commute time, I think we may be too far apart. But... need to keep the wife happy. How about $2200?",4,4
9,0,"If you promise to own, and learn how to shoot, if necessary, at least one handgun and one semi-auto rifle, I will take 2200.",6,6
10,0,Great! Make that offer :),0,0
11,0,Hi there I am interested.,0,0
12,0,Sure thing. Its a great location and a smoke free apartment. What would you like to know?,0,0
13,0,I am wondering how much the coin laundry is per load?,5,5
14,0,Its a dollar and 25 cents,0,0
15,0,I am wondering if this is a furnished or unfurnished place?,5,5
16,0,Its furnished,0,0
17,0,That is great! I am on a budget and was hoping to pay $1100.,4,7
18,0,That's too low for the price. Its a great located place and I can accept nothing lower than $1700,2,2
19,0,"Alright , I suppose since it is furnished I can now afford that price.",0,0
20,0,That's great! Thank you!,0,0
21,0,Hey what condition is the alarm clock dock in?,5,5
22,0,Like new,0,0
23,0,Sounds pretty good. Will it work with any iPhone? Even older ones?,5,5
24,0,"Worls with iphone  and ipods, fits iphone 5 or less",0,0
25,0,Does it also work for iPhone 6 and 7?,5,5
26,0,"Noe only iphone 5 or less, I can let it go for a deal but only right now at $45",0,4
27,0,Okay. Before I decide...what color is it?,5,5
28,0,Comes in black,0,0
29,0,Okay. Then we have a deal. 45 and I can google wallet you the money when I pick it up today. Cool?,0,6
30,0,Yup its a deal,0,0
31,0,Hello! I am selling a night stand from a store called The Crate & Barrel. It is a very nice night stand!,0,0
32,0,hi! i am interested in buying but how good is the condition?,1,5
33,0,It is very good. It is actually a family heirloom passed down by my grandmother and she recently passed away 2 days ago. The nightstand is empty however. Her stuff have been emptied.,0,0
34,0,im sorry to hear to that. for how much do you wanna give it away?,0,5
35,0,"Well her will listed the value of this item at 200 US dollars, but if you pick it up from her home I am willing to go lower.",0,6
36,0,how lower would you go then?,0,0
37,0,190$ and I can provide lemonade as you move it out.,0,6
38,0,that would be nice. but how about 180 since im the one picking it up and with its one handle missing?,2,2
39,0,"I can attach it for you, but I am needing the money because I am short for paying my grandma's funeral for $190.",7,7
40,0,im sorry to hear that. 190 would be good.,0,4
41,0,Thats okay she was very old. I think 98,0,0
42,0,Hi!,0,0
43,0,Hi I'm interested in this car,0,0
44,0,Great. It is in awesome shape.,0,0
45,0,It's more then I would like to spend though,4,4
46,0,How much are you wanting to spend?,0,0
47,0,umm I was thinking around 2660$,4,4
48,0,I could do 3200. It has new tires.,2,2
49,0,"well, that's a bit high...",4,4
50,0,I feel based on kelly blue book it is a fair offer. I have put a lot of work in this car to get it in great shape.,2,0
51,0,"Are you good at detailing the inside and outside of cars? I'll pay 3200 if you throw in free detailing for the next two years, at least twice a year.",6,6
