,Turn,Text,True,Pred
0,1,Hello!,0,0
1,4,I will have no discomfort discussing suffering people.,0,0
2,6,I feel really torn about the crisis.,0,0
3,6,I don't think the weight of that burden should fall on the rest of the worlds shoulders.,2,0
4,6,At the same time as a parent I would want the best possible future for my children and I know fiercly that I would do everything in my power to make sure they were in a safe place.,3,0
5,10,I always wonder how much of donations actually go where ear marked.,6,4
6,10,"I see on the local level how much of donations stay local and what gets spent on things I would call ""stupid"".",6,4
7,10,I am always worried if I donate it will just go to some higer up that is living the high life.,6,0
8,10,Sorry Im getting off topic.,0,0
9,17,With that all said I do feel like any orginazation that aims to help the children I am more inclined to donate to them than most.,3,0
10,17,My boss has a sponsored child that she sends money to every month.,0,0
11,17,SHe picked out a child with the same birth month as one of her kids.,0,0
12,17,I think helping children is an important thing as they are our future!,0,0
13,21,I think donating to this cause would def be a step in the right direction to hopefully helping across the world the children that are in dispair.,0,0
14,21,They are the weak ones in my eyes.,0,0
15,24,I think its just the perspective of the person but we all inheriently want to help as much as we can.,0,0
16,24,I would donate half of this hit payment to this charity and feel good about it I think.,0,0
17,29,I think I would feel good about half and if you are inclined to donate as well that would be fabulous.,0,0
18,29,I would lock into half.,0,0
19,31,I agree if we don't take care of the kids we risk losing a whole generation of people!,0,0
20,35,Thanks for talking me thru this today!,0,0
21,35,It is been enlightning!,0,0
22,0,"Oh yeah, I donate to world vision, its the best for kids",3,0
23,0,"oh wow, that sounds important",0,0
24,0,who do they help,4,4
25,0,wow that is a huge number isnt it,2,0
26,0,do they help children in africa,4,4
27,0,do they take donations,6,4
28,0,do you donate to them?,2,0
29,0,how much should i give,0,0
30,0,will you also give some money today?,2,0
31,0,if you give 1 dollar i will also give 1 dollar,2,0
32,1,Why yes I have.,0,0
33,1,Do you represent them?,4,0
34,3,"I've been thinking of donating to charity, but I could never find the right one.",3,0
35,9,Oh really?,0,0
36,9,I honestly had no idea.,1,0
37,11,Well being that im kind of a poor person myself im kind of in the same boat as the children lol.,5,0
38,11,I'd be fine with donating $1.00 though and i'd keep the other.,0,0
39,13,Well yeah that's why im giving them the dollar?,1,0
40,13,lol,0,0
41,14,Darn really gonna make me miss out on that bad of chips huh?...lol how about $1.15 and you have yourself a deal...,5,0
42,16,Where does the other 10 cents go then?...and I guess it's a good thing I decided to give them that dollar then =),6,0
43,20,Makes sense you gotta keep the engine running.,0,0
44,20,Well I hope that my $1.10 helps those poor children and when i dont need to rely on HITs for money i'd love to donate more.,0,0
45,21,Finnnnnne take the $1.25.,0,0
46,21,But if I die from starvation...its your fault <_<,5,0
47,22,While im in the grave cause I didnt have enough money to buy that bag of chips....,5,0
48,1,"Good, how are you?",0,0
49,3,Sure thing.,0,0
50,3,What are they?,0,4
51,6,It sucks that not all people and children have the comfort of having a stable place to stay or the comfort of knowing they are able to eat.,0,0
52,6,It is sad.,0,0
53,8,I did not have to worry about those things.,0,0
54,8,Both of my parents were employed and were able to provide for me and my siblings.,0,0
55,12,It is not a problem just for children.,2,0
56,12,"There are many homeless adults and adolescents that do not know where their next meal is coming from, or if it will ever arrive.",2,0
57,13,How do you suppose we do that?,6,0
58,16,I have not heard of Save the Children?,0,0
59,16,What do they do?,4,4
60,17,That sounds like a good organization.,0,0
61,17,I'm sure they do a lot of nice work.,0,0
62,20,I am not willing to donate from my study payment as this money is vital to me.,5,5
63,20,I am sorry I am unable to help.,5,0
64,21,Thank you for your time and information!,0,0
65,0,Hey there how is it going?,0,0
66,0,I've heard a little bit about it but don't know too much.,0,0
67,0,Oh wow!,0,0
68,0,That's incredible.,0,0
69,0,I wasn't aware that they did all of that.,0,0
70,0,So save the children is a worldwide organization it sounds like!,4,0
71,0,"I've given to a few charities before, but never this one.",3,0
72,0,I'm always so skeptical of charities to be honest.,3,0
73,0,Wow that's a really great rating!,0,0
74,0,I think money that goes to kids is a super important cause.,0,0
75,0,"Hmm, I would like to, but I'm having some financial trouble at the moment.",5,0
76,0,I'm not sure how much I'd be willing to donate.,1,0
77,0,Do you think that small of an amount would really help someone?,0,0
78,0,I think I'd be willing to donate about 25 cents,0,0
79,0,Oh that's great and makes me feel better!,0,0
80,0,Thank you!,0,0
81,0,I have to get going.,0,0
82,0,It's been great chatting with you and I hope you enjoy your weekend.,0,0
83,1,no i haven't,0,0
84,2,"Sure, I'd love to hear about it",0,0
85,5,I have never been to the site.,0,0
86,5,Could you provide me with the link,4,0
87,7,Not today but I'll definitely save the website for the future.,1,0
88,7,What type of help do you provide to those poor families?,4,4
89,12,I appreciate you informing about this but i'll be donsting at a later time,1,0
