,Turn,Speaker,Text,True,Pred,Don_true,Don_pred
0,0,0,"Hello, How you doing",Not-a-strategy,Not-a-strategy,0,0.2909250259399414
1,1,1,"Great thanks, Im here to talk about the childrens charity.",Not-a-strategy,Not-a-strategy,0,0.34921029210090637
2,1,0,"Yes, Hope you aware whats going with child who died from hunger",Not-a-strategy,Not-a-strategy,0,0.3618617355823517
3,2,1,I am mostly aware yes.,Not-a-strategy,Not-a-strategy,0,0.3645291030406952
4,2,1,This is why i would love to donate an amount.,Not-a-strategy,Not-a-strategy,0,0.36486414074897766
5,3,0,You are such a good personality ..,Not-a-strategy,Not-a-strategy,0,0.3647940754890442
6,3,0,How much do you like to donate to the charity now?,Not-a-strategy,Not-a-strategy,0,0.3644842505455017
7,4,0,Your donation will be directly deducted from your task payment.,Not-a-strategy,Not-a-strategy,0,0.3643146753311157
8,5,0,You can choose any amount from $0 to all your payment.,Not-a-strategy,Not-a-strategy,0,0.36421462893486023
9,6,1,"I not sure, how many children are in need of a donation?",Information Inquiry-Contesting,Not-a-strategy,0,0.36405128240585327
10,7,1,This will impact my decision on how much to give.,Information Inquiry-Contesting,Not-a-strategy,0,0.36400485038757324
11,8,0,1000 childrens at the first slot,Not-a-strategy,Not-a-strategy,0,0.36384913325309753
12,8,1,"Right, it will probably have to be 80% of my task payment then.",Not-a-strategy,Not-a-strategy,0,0.3638351559638977
13,9,1,I'd love to help 1000 children.,Not-a-strategy,Not-a-strategy,0,0.3637238144874573
14,0,0,I want to tell you a little about a charity called Save the Children.,Not-a-strategy,Not-a-strategy,0,0.29093843698501587
15,1,0,It is a non-profit organization that acts globally to promote children's rights.,Not-a-strategy,Not-a-strategy,0,0.3490939736366272
16,2,0,It also helps children in developing countries obtain necessary support and relief from their poverty and other troubles.,Not-a-strategy,Not-a-strategy,0,0.36133214831352234
17,3,0,It's truly a great organization that does amazing work.,Not-a-strategy,Not-a-strategy,0,0.36387670040130615
18,4,1,"Oh yeah, I donate to world vision, its the best for kids",Self Assertion-Empowerment,Not-a-strategy,0,0.36418452858924866
19,5,0,That's nice.,Not-a-strategy,Not-a-strategy,0,0.3640248477458954
20,6,0,It's another good organization.,Not-a-strategy,Not-a-strategy,0,0.3638456165790558
21,7,0,Save the Children also a great and very professional organization.,Not-a-strategy,Not-a-strategy,0,0.3636636734008789
22,8,0,They are credentialed internationally and have a great reputation for using their money wisely.,Not-a-strategy,Not-a-strategy,0,0.3635615408420563
23,9,0,Children everyday are dying of hunger and violence so it's really important to donate to help them.,Not-a-strategy,Not-a-strategy,0,0.3635302782058716
24,0,0,"hello, do you like charities ?",Not-a-strategy,Not-a-strategy,0,0.29096564650535583
25,1,1,I don't know I haven't found anyone good ones,Hesitance-Hesitance,Not-a-strategy,0,0.3492096960544586
26,2,0,do you know save the children charity ?,Not-a-strategy,Not-a-strategy,0,0.36165308952331543
27,3,1,"No, I have never hear of it",Not-a-strategy,Not-a-strategy,0,0.36384308338165283
28,3,0,"some info about save the children,they are a non-profit organisation who help children in the world, what you think now about this organization ?",Not-a-strategy,Not-a-strategy,0,0.36435481905937195
29,4,1,Do they help children right here in America,Information Inquiry-Contesting,Not-a-strategy,0,0.3644096255302429
30,5,0,"they help children in america to, whenever is needed, they helped Hawaii too, with hurricane lane .",Not-a-strategy,Not-a-strategy,0,0.3642405867576599
31,6,1,That is awesome.,Not-a-strategy,Not-a-strategy,0,0.3640095293521881
32,7,1,I am more willing to help a charity that will help right here in America,Self Assertion-Empowerment,Not-a-strategy,0,0.36373889446258545
33,7,0,"this is a charity in america too, are you willing to donate some of your money in the end of the survey?",Not-a-strategy,Not-a-strategy,0,0.36369362473487854
34,8,1,"I would like to, but I really can afford to donate anything right now.",Personal Choice-Empowerment,Not-a-strategy,0,0.36360490322113037
35,9,0,"but they are not your money , some of the hit winning, if you like too.",Not-a-strategy,Not-a-strategy,0,0.3636051416397095
36,0,0,"Hello, how are you today?",Not-a-strategy,Not-a-strategy,1,0.29072099924087524
37,1,1,hello i am fine thank you,Not-a-strategy,Not-a-strategy,1,0.3491849899291992
38,2,0,Have you heard of our charity Save the Children?,Not-a-strategy,Not-a-strategy,1,0.36192476749420166
39,3,1,yes I've donated $ 150 to this year for this organization,Not-a-strategy,Not-a-strategy,1,0.36451637744903564
40,4,0,"Awesome, you know all about it then!",Not-a-strategy,Not-a-strategy,1,0.365020751953125
41,5,1,"I know more or less how it works and my goals are, but what do you know",Information Inquiry-Contesting,Not-a-strategy,1,0.36497431993484497
42,6,0,I know it is an international non-governmental organization that promotes children's rights while also providing relief and support for children in developing countries.,Not-a-strategy,Not-a-strategy,1,0.3649067282676697
43,7,0,"It is awesome there are people that dedicate their lives to help ensure children have the rights to health, education, safety, and much more.",Not-a-strategy,Not-a-strategy,1,0.3647401034832001
44,8,1,"very fair, it is good that all contribute little to the help of children all over the world",Not-a-strategy,Not-a-strategy,1,0.3645894229412079
45,9,0,This is very true.,Not-a-strategy,Not-a-strategy,1,0.36434265971183777
46,0,0,A donation for a child is very neccesary,Not-a-strategy,Not-a-strategy,0,0.29090598225593567
47,1,1,I couldn't agree more.,Not-a-strategy,Not-a-strategy,0,0.34950971603393555
48,1,0,Have you ever donate for children in your area?,Not-a-strategy,Not-a-strategy,0,0.36184313893318176
49,1,1,"I have, I have donated christmas gifts to local Toys for Tots every year.",Self Assertion-Empowerment,Not-a-strategy,0,0.3640686273574829
50,2,1,And a few other local charities specifically for children.,Self Assertion-Empowerment,Not-a-strategy,0,0.36417943239212036
51,2,1,Have you ever donated to children?,Counter Argumentation-Contesting,Not-a-strategy,0,0.3639909327030182
52,3,0,"Yes, I have.",Not-a-strategy,Not-a-strategy,0,0.3637668788433075
53,3,0,I remember a kid that lives on the streets.,Not-a-strategy,Not-a-strategy,0,0.36367467045783997
54,3,0,"He has no parents ,no one that cares about him",Not-a-strategy,Not-a-strategy,0,0.36355945467948914
55,4,1,Thats very sweet of you.,Not-a-strategy,Not-a-strategy,0,0.36346936225891113
56,4,1,What did you get him?,Information Inquiry-Contesting,Not-a-strategy,0,0.36351290345191956
57,5,0,I get in touch with the Save the Children program.,Not-a-strategy,Not-a-strategy,0,0.36351102590560913
58,5,0,They get him a house and warm food,Not-a-strategy,Not-a-strategy,0,0.36349672079086304
59,5,1,Thats amazing.,Not-a-strategy,Not-a-strategy,0,0.36349764466285706
60,5,1,I am glad you were there to help him.,Not-a-strategy,Not-a-strategy,0,0.36340758204460144
61,6,1,I would do the same,Not-a-strategy,Not-a-strategy,0,0.3633030652999878
62,6,0,It is a shame many children die of hunger everyday while some people spend money on stuff they do not need,Not-a-strategy,Not-a-strategy,0,0.3633556663990021
63,6,1,Its extremely sad.,Not-a-strategy,Not-a-strategy,0,0.3633609116077423
64,7,1,"If I had the money that some people have, I would form my own foundation specifically for under privileged children and those in need.",Personal Choice-Empowerment,Not-a-strategy,0,0.36336222290992737
65,7,0,I think you can still make a difference.,Not-a-strategy,Not-a-strategy,0,0.36329972743988037
66,8,0,How much money do you waste on candy or cookies every year?,Not-a-strategy,Not-a-strategy,0,0.36321017146110535
67,8,1,I don't waste much money on that type of stuff.,Not-a-strategy,Not-a-strategy,0,0.36319127678871155
68,9,1,My money is more wasted on drive thru getting coffee.,Counter Argumentation-Contesting,Not-a-strategy,0,0.3631981611251831
69,0,0,Hello?,Not-a-strategy,Not-a-strategy,1,0.2916124165058136
70,0,1,Hello.,Not-a-strategy,Not-a-strategy,1,0.34904685616493225
71,1,1,I hope you are well.,Not-a-strategy,Not-a-strategy,1,0.36164993047714233
72,1,0,"Same, would you like to donate to Save the children?",Not-a-strategy,Not-a-strategy,1,0.3638629913330078
73,2,1,I think it is very important to help children that are less fortunate.,Not-a-strategy,Not-a-strategy,1,0.3640950322151184
74,3,1,"Tell me more about ""Save the children.""",Information Inquiry-Contesting,Not-a-strategy,1,0.3639300465583801
75,3,0,Your donation will be directly deducted from your task payment.,Not-a-strategy,Not-a-strategy,1,0.36393237113952637
76,4,0,It would do a great help with your donation.,Not-a-strategy,Not-a-strategy,1,0.3639225959777832
77,4,1,What service does this charity provide?,Information Inquiry-Contesting,Not-a-strategy,1,0.3638589382171631
78,5,0,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",Not-a-strategy,Not-a-strategy,1,0.36381909251213074
79,6,1,I like the sound of that.,Not-a-strategy,Not-a-strategy,1,0.36379918456077576
80,6,1,Does it work by sponsoring a specific child who you get to know or does everything run through the organization?,Information Inquiry-Contesting,Not-a-strategy,1,0.3637250065803528
81,7,0,"he money goes to the charity as a whole not to a particular kid, so when you donate you know you helping more than one child.",Not-a-strategy,Not-a-strategy,1,0.3636202812194824
82,8,1,That makes sense and I do like the money to be spread to everyone.,Not-a-strategy,Not-a-strategy,1,0.363551527261734
83,9,1,Is this primarily in African and South America?,Information Inquiry-Contesting,Not-a-strategy,1,0.36349454522132874
84,0,0,I think out of all charities saving the children is most important one as children make the future.,Not-a-strategy,Not-a-strategy,1,0.2910595238208771
85,1,0,Hope you agree,Not-a-strategy,Not-a-strategy,1,0.3496575355529785
86,2,1,I definitely agree,Not-a-strategy,Not-a-strategy,1,0.3622652292251587
87,3,0,this is good as you agree with opinion as everyone should do the same,Not-a-strategy,Not-a-strategy,1,0.36462146043777466
88,4,1,"Yes - providing funding for children is a top priority, whatever the need may be",Not-a-strategy,Not-a-strategy,1,0.36496731638908386
89,5,0,I usually put some money for this cause yearly,Not-a-strategy,Not-a-strategy,1,0.36482736468315125
90,6,1,What kind of children's charities do you think are the most important?,Information Inquiry-Contesting,Not-a-strategy,1,0.3642410337924957
91,7,0,I think children below the poverty line is most important,Not-a-strategy,Not-a-strategy,1,0.36391589045524597
92,8,1,Yes - someone needs to be looking out for those children!,Counter Argumentation-Contesting,Not-a-strategy,1,0.36399567127227783
93,9,0,"I say, if you have enough than give to others",Not-a-strategy,Not-a-strategy,1,0.3638143241405487
94,0,0,"Hello, how are you?",Not-a-strategy,Not-a-strategy,1,0.2908506691455841
95,0,1,"Fine, thank you.",Not-a-strategy,Not-a-strategy,1,0.34905382990837097
96,1,1,How do you feel about donating to a children's charity?,Counter Argumentation-Contesting,Not-a-strategy,1,0.3613894581794739
97,1,0,I always they to donate when ever I am able.,Not-a-strategy,Not-a-strategy,1,0.3638766407966614
98,2,0,"Especially childrens charities, children are so innocent and deserve the best chance at life.",Not-a-strategy,Not-a-strategy,1,0.36397120356559753
99,2,1,But do you really trust the charities that you give to?,Hesitance-Hesitance,Not-a-strategy,1,0.36377280950546265
100,2,1,Do you know if they are actually using that money for the intended purpose?,Hesitance-Hesitance,Not-a-strategy,1,0.36366361379623413
101,3,0,YEs I always look into the charities that i donate to.,Not-a-strategy,Not-a-strategy,1,0.3635304570198059
102,3,0,For instance I always donate to our local childrens hospital because my nephew was treat there when he was diagnosed with cancer.,Not-a-strategy,Not-a-strategy,1,0.36344143748283386
103,3,0,I saw how many sick little kids where there fight for their lives.,Not-a-strategy,Not-a-strategy,1,0.36338281631469727
104,4,0,So I also donate to the hospital and childrens cancer network because the money goes directly to research cancers that effect children.,Not-a-strategy,Not-a-strategy,1,0.3633001744747162
105,5,1,"I agree, the local charities are good.",Self Assertion-Empowerment,Not-a-strategy,1,0.36321401596069336
106,5,1,I don't trust the bigger charities.,Hesitance-Hesitance,Not-a-strategy,1,0.3631425201892853
107,6,1,"I think most of the money that is donated goes towards salaries, etc.",Hesitance-Hesitance,Not-a-strategy,1,0.36308348178863525
108,6,0,Sadly that is true some times.,Not-a-strategy,Not-a-strategy,1,0.3631017804145813
109,7,0,How do you feel about donating to childrens charities?,Not-a-strategy,Not-a-strategy,1,0.36307311058044434
