,Turn,Speaker,Text,True,Pred
0,0,1,"Hi, it all depends on who you really are, if it's for a person very close to me if I'm willing",Personal Choice-Empowerment,Information Inquiry-Contesting
1,1,1,"if I would agree with that, and if my organ donated what problems would my body have?",Source Derogation-Contesting,Information Inquiry-Contesting
2,1,1,the operation has risks,Source Derogation-Contesting,Information Inquiry-Contesting
3,2,1,"oh ok I'm sorry I have read wrong, if I would be willing to donate with pleasure is a good cause",Not-a-strategy,Information Inquiry-Contesting
4,3,1,I am willing to donate $ 10,Not-a-strategy,Information Inquiry-Contesting
5,4,1,"Not that, there are many needs in the world and this is a good cause",Not-a-strategy,Information Inquiry-Contesting
6,5,1,If sometimes I go down the street and there are people with posters I raise money for children and I always give them something because it is a good cause,Counter Argumentation-Contesting,Information Inquiry-Contesting
7,6,1,"If I have two very beautiful children that are my life, maybe that's why I'm very attentive to things like this of this magnitude",Not-a-strategy,Information Inquiry-Contesting
8,7,1,"to think about all the needs that a child in need at this moment is helping, and to think that this may be their child",Not-a-strategy,Information Inquiry-Contesting
9,8,1,if it's what I think they have everything in their hands,Not-a-strategy,Information Inquiry-Contesting
10,9,1,it is very happy day,Not-a-strategy,Information Inquiry-Contesting
11,0,1,"Great thanks, Im here to talk about the childrens charity.",Not-a-strategy,Information Inquiry-Contesting
12,1,1,I am mostly aware yes.,Not-a-strategy,Information Inquiry-Contesting
13,1,1,This is why i would love to donate an amount.,Not-a-strategy,Information Inquiry-Contesting
14,2,1,"I not sure, how many children are in need of a donation?",Hesitance-Hesitance,Information Inquiry-Contesting
15,2,1,This will impact my decision on how much to give.,Hesitance-Hesitance,Information Inquiry-Contesting
16,3,1,"Right, it will probably have to be 80% of my task payment then.",Not-a-strategy,Information Inquiry-Contesting
17,3,1,I'd love to help 1000 children.,Not-a-strategy,Information Inquiry-Contesting
18,4,1,"No problem, what day is the charity meet up then?",Not-a-strategy,Information Inquiry-Contesting
19,5,1,"Great, and can i bring family members to the donation event?",Not-a-strategy,Information Inquiry-Contesting
20,6,1,Great what time is it on?,Not-a-strategy,Information Inquiry-Contesting
21,7,1,"Okay great, is there parking for the venue or should i get a taxi there?",Not-a-strategy,Information Inquiry-Contesting
22,8,1,Thanks.,Not-a-strategy,Information Inquiry-Contesting
23,8,1,"Just to confirm, I'm donating 80% of my task amount.",Not-a-strategy,Information Inquiry-Contesting
24,9,1,"Thanks very much, nice speaking to you.",Not-a-strategy,Information Inquiry-Contesting
25,0,1,"Hello, yes I am willing to donate my payment from this task for the Save the Children charity",Not-a-strategy,Information Inquiry-Contesting
26,1,1,"I have no problem donating the entire $2, and I agree, every bit does help!",Not-a-strategy,Information Inquiry-Contesting
27,2,1,"All of my payment, the entire $2.",Not-a-strategy,Information Inquiry-Contesting
28,3,1,Anything that helps children succeed is definitely a great cause,Not-a-strategy,Information Inquiry-Contesting
29,4,1,Always.,Not-a-strategy,Information Inquiry-Contesting
30,4,1,I set aside a small personal charity fund each year so that I can contribute to my community.,Counter Argumentation-Contesting,Information Inquiry-Contesting
31,5,1,The Red Cross and Greenpeace were my main charity donations this year,Counter Argumentation-Contesting,Information Inquiry-Contesting
32,6,1,"Aww, that would be so considerate of them!",Not-a-strategy,Information Inquiry-Contesting
33,6,1,Yes I would.,Not-a-strategy,Information Inquiry-Contesting
34,7,1,That would be so sweet of them.,Not-a-strategy,Information Inquiry-Contesting
