,Turn,Text,True,Pred
0,1,"Hi, it all depends on who you really are, if it's for a person very close to me if I'm willing",6,0
1,4,"if I would agree with that, and if my organ donated what problems would my body have?",1,1
2,4,the operation has risks,1,0
3,6,"oh ok I'm sorry I have read wrong, if I would be willing to donate with pleasure is a good cause",0,0
4,7,I am willing to donate $ 10,0,0
5,8,"Not that, there are many needs in the world and this is a good cause",0,0
6,9,If sometimes I go down the street and there are people with posters I raise money for children and I always give them something because it is a good cause,2,2
7,11,"If I have two very beautiful children that are my life, maybe that's why I'm very attentive to things like this of this magnitude",0,0
8,12,"to think about all the needs that a child in need at this moment is helping, and to think that this may be their child",0,0
9,13,if it's what I think they have everything in their hands,0,3
10,14,it is very happy day,0,0
11,1,"Great thanks, Im here to talk about the childrens charity.",0,0
12,2,I am mostly aware yes.,0,0
13,2,This is why i would love to donate an amount.,0,0
14,6,"I not sure, how many children are in need of a donation?",4,1
15,6,This will impact my decision on how much to give.,4,6
16,7,"Right, it will probably have to be 80% of my task payment then.",0,0
17,7,I'd love to help 1000 children.,0,0
18,8,"No problem, what day is the charity meet up then?",0,0
19,9,"Great, and can i bring family members to the donation event?",0,0
20,10,Great what time is it on?,0,0
21,11,"Okay great, is there parking for the venue or should i get a taxi there?",0,0
22,13,Thanks.,0,0
23,13,"Just to confirm, I'm donating 80% of my task amount.",0,0
24,14,"Thanks very much, nice speaking to you.",0,0
25,2,"Hello, yes I am willing to donate my payment from this task for the Save the Children charity",0,0
26,5,"I have no problem donating the entire $2, and I agree, every bit does help!",0,0
27,6,"All of my payment, the entire $2.",0,0
28,9,Anything that helps children succeed is definitely a great cause,0,0
29,10,Always.,0,0
30,10,I set aside a small personal charity fund each year so that I can contribute to my community.,2,0
31,11,The Red Cross and Greenpeace were my main charity donations this year,2,2
32,12,"Aww, that would be so considerate of them!",0,0
33,12,Yes I would.,0,0
34,13,That would be so sweet of them.,0,0
35,13,"If a child would like to send me a letter and picture of theirselves, I would be delighted.",1,0
36,14,"Yes I am, thank you for asking.",0,0
37,15,Yes I will give my earnings to the Save the Children charity.,0,0
38,1,"I haven't, is that a charity?",3,0
39,3,I've donated to a few in the past,2,2
40,4,"Possibly, do they have a website?",2,4
41,6,"I really can't do much, but I'd be glad to put down a dollar",0,0
42,8,"For now, I'm happy with my current donation but maybe another time",6,6
43,9,I think we each have to exchange 10 messages before I can do that,0,0
44,10,Is ther any other charities you're fond of?,2,1
45,12,"World Wildlife Fund: WWF, I like to support animals too if I can",2,2
46,13,You can find it atURL,0,0
47,14,"Awesome, good chat!",0,0
48,1,Sure.I would be glad to. How much money do you think I should give?,4,0
49,2,I can afford $5.00,0,0
50,3,How much would you donate?,1,0
51,4,"Yeah, that sounds great. I love donating to charity. I think it is important to help those less fortunate.",0,0
52,5,I donate a portion of my paychecks to feed the children. Do you have a favorite charity?,2,0
53,6,"Oh wow, I would also be interested in donating to that.",0,0
54,7,It really breaks my heart. I wish I could help everyone in need.,0,0
55,8,"I feel bad about only giving $5, do you think we should give more?",4,0
56,9,Very true. $5 it is. At least we are giving something. Most people wouldn't.,1,0
57,10,"If everyone would just give something, everyone could have food and a warm place to sleep.",1,0
58,1,"Hello, same!",0,0
59,3,"Yeah, totally.",0,0
60,3,Go ahead,0,0
61,5,"Well, I grew up in a wealthy house.",0,0
62,5,My mother and father both have a PhD so their jobs made possible for us to be able to cover all that and so much more,0,0
63,7,"So do I, I feel kind of guilty to being able to have all that and they are kids out there who don't have not a single one of all of those basic things",0,0
64,11,"I totally agree, I think if you can, you should help others in need",0,0
65,13,"Not really, please tell me anything!",4,4
66,14,"Oh, that's totally awesome!",0,0
67,14,Do you donate to this organization?,4,1
68,15,"Oh wow, that's really heart moving, it's sounds like a lovely organization",0,0
69,17,"Yeah, totally!",0,0
70,17,I already help an organization but would be glad to help another one too.,2,0
71,21,Maybe 0.50?,0,0
72,21,"I'm sorry that it seems so little, but as I already donate to an organization and I use the payments here to save for a vacation coming up...",5,0
73,0,"Hi, I am doing well.",0,0
74,0,How are you?,0,0
75,0,I have and I have heard good things about the charity.,0,0
76,0,Are you familiar with it?,4,0
77,0,Yes I am interested.,0,0
78,0,Yes I would be willing to donate $1,0,0
79,0,"Ok, sounds great!",0,0
80,0,No I don't have any other questions.,0,0
81,0,No I didn't know that.,0,0
82,0,"I took a little time to look up information on the organization, but didn't see that.",0,0
83,0,"I saw that they have pretty reasonable overhead fees, but the salary for the CEO was very high.",3,0
84,0,"yes, that would be great, I like to compare to see.",0,0
85,0,I think that it is so important that the money goes to the children and not to salaries.,3,3
86,0,"That was interesting, it seemed to match the information on the independent review site.",0,0
87,0,"Yes, that is good with me.",0,0
88,2,im ok and you,0,0
89,4,yes i would,0,0
90,6,oh how would you help the children,4,0
91,7,oh ok thats nice,0,0
92,8,i know i would like to help them with 5 dollars,0,0
93,10,no its ok i just like children because they need help,0,0
94,11,i use to,2,0
95,12,i like to give out toys and if i have some type of change i give it out,2,0
96,14,yes i would like to,0,0
97,16,yes i like to give out things,0,0
98,2,"It was pretty good, hot weather but still nice and yours?",0,0
99,5,"No, I can't say I have.",0,0
100,5,What is it about?,4,0
101,6,In what way does it support children?,4,4
102,9,"I see so does the money go for food, shelter, medical support those kinds of things?",4,4
103,13,Does this money provide help for the kids in their own country or is it used to bring these children over to the United States?,4,4
104,17,I'm sorry I'm just not able to at this time but thank you for telling me about this organization.,7,0
105,17,I wish you well.,0,0
106,18,"Alright, I will donate 25 cents.",0,0
107,19,You're very welcome.,0,0
108,20,We went out with family to eat and are just taking it easy and yourself?,0,0
109,23,It sounds like fun.,0,0
110,23,I recently saw a old movie at the theatre called Casablanca with Humphrey Bogart.,0,0
111,2,Well tell me a little bit more about the charity.,4,4
112,4,A lot of charities are just a name and they don't do what they promise.,3,3
113,4,How do I know my money will go where it supposed to?,4,3
114,6,Ok.,0,0
115,6,So why do they deserve my money as opposed to other charities like St Judes or the Red Cross>,2,2
116,10,Do they help kids in the US?,4,4
117,10,I like to help people that are close to home.,2,2
118,12,I don't mind helping those abroad.,0,0
119,12,But there are a lot kids here in the US who deal with poverty.,0,0
120,12,"So it's not that I don't care about the children elsewhere, just want to help those at home first.",2,2
121,13,Well how do i make a donation to them?,4,0
122,14,"well if you aren't going to help me out with information and make it easy on me by helping with info, i'm not sure if you really care",1,0
123,16,Thanks I would appreciate your help.,0,0
124,16,People are more likely to donate when they are comfortable and feel like it is good organization.,0,0
125,17,Ok thank you.,0,0
126,17,Yes I believe I will donate.,6,0
127,17,I do think it is a good cause.,0,0
128,19,You are welcome.,0,0
129,19,"Even though I can't donate much, at least it will do some good.",5,0
130,1,I'm good.,0,0
131,1,What Children's charity would you like to donate money to?,0,0
132,3,Save the Children sounds like a good charity to me as well.,0,0
133,4,Clear financial reports are a very good thing.,0,0
134,4,They work with children all around the world.,0,0
135,4,Correct?,4,0
136,5,"Wow, that's amazing.",0,0
137,5,Definitely a charity that I could stand behind and support.,0,0
138,6,I don't know much about their events.,0,0
139,6,But I have money that I can donate.,0,0
140,9,I wouldn't have the time off to do that.,0,0
141,9,But that's pretty cool what they do.,0,0
142,11,Donating part of a purchase is such an easy way for a large amount of people to donate money.,0,0
143,13,If it's a charity I believe in that's a great way.,0,0
144,13,I donate to many local charities in my city.,0,2
145,16,I think I'll probably donate at the end of this conversation.,0,0
146,16,Will you be doing so as well?,0,0
147,19,I've had similar things happen.,0,0
148,19,I'm glad we good agree on a charity to donate to.,0,0
149,1,Hi.,0,0
150,1,"No, I have not heard about that charity.",0,0
151,2,"Yes, I would love some information.",0,0
152,3,How do they help the children?,4,4
153,4,That sounds great.,0,0
154,4,How can I get involved?,0,0
155,5,I would really like to help.,0,0
156,7,"Yes, I'm interested.",0,0
157,7,I can give $0.60 cents.,0,0
158,8,Really?,0,0
159,8,Does the charity feed the children in the USA or abroad?,4,4
160,9,That is amazing.,0,0
161,9,Is there any other way to get involved besides donating?,0,0
162,10,"Okay, I will think about it.",0,6
163,10,What do you do in the organization?,0,0
164,11,Thank you very much.,0,0
165,11,I will happily donate 60 cents.,0,0
166,1,To save the children where?,4,4
167,2,What does it help the children with?,4,4
168,3,Is there a minimum donation?,0,4
169,5,I would be interested in making a donation,0,0
170,7,ok that sounds great,0,0
171,9,No there is not,0,0
172,10,"I have no idea, maybe after we have 10 chat turns each",0,0
173,11,where are you from?,0,0
174,13,I am born and raised in Florida,0,0
175,14,I made $100+ everyday last week on Mturk and now all I have left is these low paying surveys,0,0
176,0,where is this organization based?,4,4
177,0,Do they help children from a particular country or is it all around the world?,4,4
178,0,Yeah stories like that are very heart breaking.,0,0
179,0,What types of programs do they offer?,4,4
180,0,Like do they just supply food?,4,4
181,0,That sound great but you know my biggest concern with making donations to charities is always the question of just how much of the money I give actually reaches to the intended people.,4,3
182,0,Oh I see so they have a website that I could learn more about them.,0,4
183,0,Yeah I think its good to help any little bit you can.,0,0
184,0,How much is the typical donation amount usually?,0,4
185,0,"So after making a donation, I won't exactly see how the money I give will be used right?",0,0
186,0,I mean this is not like sponsoring a child or family situation right?,0,0
187,0,Yes that is true.,0,0
188,0,Have you made a donation to this organization before?,0,0
189,0,This will be my first time donating to this organization so sorry if I have a lot of questions about it.,0,0
190,0,"When making the donation, what are the steps?",0,0
191,0,Once I decide to make the donation what should I do next?,0,0
192,0,I would like to donate $0.,7,0
193,1,Hi!,0,0
194,1,Doing good.,0,0
195,1,How are you?,0,0
