,Turn,Text,True,Pred
0,0,hi there!,0,0
1,0,how are you?,0,0
2,0,same here!,0,0
3,0,i know.,0,0
4,0,it's so heartbreaking,0,0
5,0,"no, i've never heard about it",0,0
6,0,really?,0,0
7,0,I would like to learn more about this organization.,4,0
8,0,i actually did but never had a chance to do so,0,0
9,0,i do like to donate to charities and this one sounds good because i want to help children but how do i know they are legit?,5,5
10,0,"sure, what's the website?",4,0
11,0,"give me a minute , let me see",1,0
12,0,"okay, it looks great.",0,0
13,0,I see they are top rated charity,0,0
14,0,I'm good!,0,0
15,0,How are you doing?,0,0
16,0,What's your feelings about giving to children's charities?,0,0
17,0,I agree that you have to be careful.,0,0
18,0,I do donate to Ronald McDonald House and St Jude.,3,3
19,0,How much do you donate?,2,2
20,0,I have heard of Save the Children but I'd rather keep my donations US-based,3,3
21,0,I am not sure about where all the donation money ends up.,4,4
22,0,I'd rather give to Ronald McDonalds especially since I know people who have personally benefited.,5,3
23,0,there are so many starving and abused kids here in the US that I'd feel more comfortable helping them first.,3,3
24,0,that's true.,0,0
25,0,I could spread out donations.,0,0
26,0,"I'd rather donate to Ronald McDonald - how much are you donating, though?",3,2
27,0,I'll donate but not that much,0,7
28,0,Would you give some of that .15 to Ronald McDonald?,2,2
29,0,I'd do .15 with splitting,0,0
30,0,OK perfect!,0,0
31,0,Let's both do .15 but split among Ronald McDonald and Save the Children!,3,0
32,0,Great!,0,0
33,0,Thank you for your donation!,0,0
34,2,I'm great.,0,0
35,2,How about yourself?,0,0
36,4,"I do donate sometimes, yes.",0,0
37,5,"I have donated a couple of times; like for the St Jude's Hospital, red nose day and March of Dimes.",3,3
38,5,I do what I can to give back.,0,0
39,7,That is very true.,0,0
40,7,"If more people gave, even it's a small amount, it truly adds up and can make a difference.",0,0
41,9,"Absolutely, they are the future generation and it's imperative that they are nurtured and looked after.",0,0
42,11,That's great.,0,0
43,11,Could you tell me more about this charity?,4,4
44,12,Sounds amazing.,0,0
45,12,How are the proceeds distributed?,4,4
46,13,How would you go about donating to this cause?,5,0
47,14,"Awesome, I'll head over there right now and support it thank you.",0,0
48,16,I can donate a dollar for now since I don't have much right but I feel obligated to at least donate something.,0,6
49,0,hello i am fine thank you,0,0
50,0,yes I've donated $ 150 to this year for this organization,0,0
51,0,"I know more or less how it works and my goals are, but what do you know",4,0
52,0,"very fair, it is good that all contribute little to the help of children all over the world",0,0
53,0,"I feel the happiest man in the world when I donate some help if she is, I feel very good when my help is happening to people",0,0
54,0,I do not only help the children but everybody who needs some help if this financial or moral help,3,0
55,0,"true, we live a life and it would be more fun to live beautifully and happily but not only for ourselves but to be happy for all the people who surround us somewhat",0,0
56,0,if I define what makes me happy in life is to look and my beloved happy man,0,0
57,0,"I wanted to buy clothes for myself today, but I will give them some kind of charity online search, full $ 100",1,3
58,0,"work here is the other thing, my donation comes from my other payment",1,6
59,0,i usually do donate to charities,3,3
60,0,I would like to know more about this charity,4,4
61,0,I'm surprised i've never heard about it! how do i know if it's legit and if money really go to help those kids,5,5
62,0,i understand but i just don't feel comfortable donating yet.,5,7
63,0,I'm currently receiving food stamps so i don't buy candy and unnecessary stuff.,2,6
64,0,i'm super broke right now,6,6
65,0,"yes, i guess i can.",0,0
66,0,it does.,0,0
67,0,i really love helping people,0,0
68,0,"Yes, i agree",0,0
69,0,thank you!,0,0
70,0,You too!,0,0
71,0,"I'm not sure yet, maybe 5 cents",0,0
72,2,maybe,0,1
73,5,that is not bad,0,0
74,7,"yeah, that is true.",0,0
75,7,spend lots of money on beer,3,0
76,9,how are the donations made?,4,4
77,11,ok.it only pays $0.30 though,0,0
78,12,ok that would be fine,0,0
79,13,$0.25 is a good amount,0,0
80,14,that sounds good,0,0
81,15,"yes, that is fine",0,0
82,16,thank you and hope it helps,0,0
83,1,Good day...,0,0
84,1,"it's a Monday, but a good start to the week!",0,0
85,3,I'm just waiting until it's time to go volunteer at a local children's hospital...,3,0
86,3,I cuddle babies in the NICU.,3,0
87,6,"A friend has been doing it for awhile, and I've always been interested.",0,0
88,6,"There is quite a bit of training and background checks, but it's worth it!",0,0
89,8,Sure!,0,0
90,8,"As you can tell, it's something I'm very concerned about!",0,0
91,12,"It makes me feel like life is so unfair, and those of us who can help, should.",0,0
92,13,I don't believe so.,5,0
93,14,Is it a well regulated agency?,4,5
94,14,How much of donations go to the kids?,4,4
95,15,How long has it been around?,4,4
96,16,I'm looking it up right now.,0,0
97,16,Established 1919,0,0
98,21,I'd donate 50 cents of my payment.,0,0
99,1,Hello,0,0
100,2,I actually have not.,0,0
101,2,What do they do to help children?,4,4
102,3,I'm glad a charity like that exists internationally.,0,0
103,7,"it does, and charities can go further with the amount of money donated.",5,0
104,10,It's sad to think being born in the wrong conditions can have such a lifelong impact.,0,0
105,14,"Hopefully, more the people born more lucky can lend a hand.",0,0
106,17,"Yes, absolutely.",0,0
107,17,I can donate $0.50.,0,0
108,19,"Yes, I am sure.",0,0
