,Turn,Text,True,Pred
0,1,I couldn't agree more.,0,0
1,2,"I have, I have donated christmas gifts to local Toys for Tots every year.",3,0
2,2,And a few other local charities specifically for children.,3,3
3,2,Have you ever donated to children?,2,2
4,5,Thats very sweet of you.,0,0
5,5,What did you get him?,4,0
6,7,Thats amazing.,0,0
7,7,I am glad you were there to help him.,0,0
8,7,I would do the same,0,0
9,8,Its extremely sad.,0,0
10,8,"If I had the money that some people have, I would form my own foundation specifically for under privileged children and those in need.",6,0
11,10,I don't waste much money on that type of stuff.,0,6
12,10,My money is more wasted on drive thru getting coffee.,2,0
13,10,I can easily cut down on that to donate more to charity tho.,0,0
14,10,Great idea!!,0,0
15,13,I agree.,0,0
16,13,"Children are the future, and not only that, but they didn't ask to be born, so why should they suffer?",0,0
17,13,They need the best shot and thats up to us to give.,0,0
18,15,"If that was the case, than we might not be in this problem.",0,0
19,15,But we can always try.,0,0
20,16,I agree.,0,0
21,16,What do you have in mind?,0,0
22,17,And share on social media could be the next step?,0,0
23,0,okay..and how are you,0,0
24,0,yes..i am very familiar..,0,0
25,0,are you involved with charity,4,0
26,0,me too..i see many commercials for charity on TV and it breaks my heart..,0,0
27,0,"i am also a follower of Unicef, are you familiar",3,2
28,0,"interesting, what do the ratings represent",2,4
29,0,very good...are you interested in other charities involved with children,3,0
30,0,i happen to favor unicef since my kids collect for halloween and kids count monies as part of class project.,5,3
31,0,i tend to give up to 100$ a month to children's org- what is your prefered donation?,2,2
32,0,ah..what do you consider a fair donation per month,2,0
33,0,i tend to give to people on the street asking for $$..there lots of opp...20 to 30 is fair amount,3,0
34,0,hmm..interesting i will consider that..how would i contact them,1,1
35,0,ty..i will contact and agree to start off with 10$ per month,1,0
36,0,I definitely agree,0,0
37,0,"Yes - providing funding for children is a top priority, whatever the need may be",0,0
38,0,What kind of children's charities do you think are the most important?,4,4
39,0,Yes - someone needs to be looking out for those children!,2,0
40,0,"Important to make sure their basic needs are met too -- food, clothing and shelter",0,0
41,0,"It depends, should this be a monthly donation or annual?",4,4
42,0,"Ok, sounds good.",0,0
43,0,Not without knowing the exact organization,3,5
44,0,I am unclear as to whether or not this is a real donation or just discussion for the sake of the task,5,4
45,0,I will donate 20 cents,0,0
46,1,Hiya,0,0
47,2,I'm not - Could you tell me more about it?,4,4
48,4,Great - So how does the donation process work?,4,4
49,4,How do I make sure my money is being used for that purpose?,5,5
50,5,Ok - so can I donate $20?,0,0
51,6,oh - well since it'll be deducted from my task payment - Let's do half - $1,6,0
52,7,Half the payment - One whole dollar,0,0
53,9,"Great, so do we keep talking for like 4 more turns?",0,0
54,11,"I knew it was a large number, which is one of the things I was thinking Save the Children could help with",4,0
55,12,"Huh, that's awesome.",0,0
56,12,Makes me feel even better about my donation,0,0
57,13,Yeah - I try to donate once a month or so,3,0
58,14,Yeah - That would be great.,0,0
59,14,Thank you so much!,0,0
60,1,Yes I have,0,0
61,2,Save the children,3,0
62,4,Yes. Save the children is a very nice organization,0,0
63,5,I donated 1000 dollars to them.,3,0
64,8,I do it once a year,0,0
65,11,Sure I would,0,0
66,13,Yes.,0,0
67,13,I would like to make a donation,0,0
68,15,I would like to donate 5 dollars.,0,0
