,Turn,Text,True,Pred
0,0,What direction do the windows face in the apartment?,5,5
1,0,East,0,0
2,0,What floor is the apartment on?,5,5
3,0,first,0,0
4,0,How many parking places do I get?,5,5
5,0,one,0,0
6,0,What utilities are included in the rent?,5,5
7,0,water,0,0
8,0,How much are you asking for the rent?,5,5
9,0,"$1,800.00",0,0
10,0,Do I have to pay first and last month?,5,5
11,0,No,0,0
12,0,How about a security deposit?,5,5
13,0,Security deposit is $2000,0,0
14,0,I am willing to offer 1800 for the rent but only want to tie up 1500 as a security deposit.  Okay?,4,4
15,0,how about 1800 for security deposit?,4,4
16,0,Okay,0,0
17,0,Hi,0,0
18,0,Hello,0,0
19,0,can you tell me more about how long you've had the tablet?,5,5
20,0,I just got it like a month ago. It is brand new in the box. The tablet is in immaculate condition.,0,0
21,0,Do you still have the receipt?,5,5
22,0,Yes and it comes in the box. It is brand new never been opened. A charger is inside the box too.,0,0
23,0,Would you be willing to come down in price? I was thinking that I could take it off your hands for $73,4,4
24,0,Could you do 75? I can bring it to you so you will not have to drive.,6,6
25,0,"Yeah, that sounds awesome.",0,0
26,0,Ok deal.,0,0
27,0,Does this TV really have a skewed wooden frame on it?,1,1
28,0,Hi there no there is no wooden frame,0,0
29,0,okay because in the picture it looks cattywompous. what do you say to $350?,4,4
30,0,"the tv is in perfect condition  the photo is just slightly askew  as it is in perfect condition i really do not want to go that low,",2,2
31,0,does the doll house come with it?,6,5
32,0,"no i'm afraid not. but i can say there is absolutely nothing wrong with it, as if it just came out of the box today.",0,0
33,0,what do you say to $360 then?,4,0
34,0,the tv retails for over 600 dollars i really don't want to go any lower then $375,4,3
35,0,"hmmmm. you drive a hard bargain. okay $375 and the dollhouse, please. i have to have the doll house. i want the cattywompous setup!",6,4
36,0,HaHa sorry the dollhouse would be an extra $100 dollars,3,4
37,0,nooooooo. you're breaking my heart mister.  okay $400 and the dollhouse comes with? make my cattywompous life complete please sir.,6,3
38,0,sorry i would have to get my daughter a new one therefore i can not negotiate on the dolhouse,7,3
39,0,sigh. okay fine. $375 and now mr whiskers is homeless. i hope you're happy mister.,0,0
40,0,is it for adult?,5,5
41,0,yes it is,0,0
42,0,How will you deliver it to me?,5,5
43,0,"we can find a way,what would you like ?",0,0
44,0,Let me think. Can you negotiate?,0,4
45,0,yes,0,0
46,0,I am willing to get it for $912.,4,4
47,0,thats sounds good,0,0
48,0,"Ok. Then, Can you bring it somewhere at public place?",6,6
49,0,yes of course,0,0
50,0,ok then deal is done. I will see you at walmart parking lot at 12 pm.,0,0
51,0,you got it,0,0
52,0,thank you,0,0
53,0,"Hello, I would like to offer this item for sale at 2900.  It is listed for 3400 and it even comes with a free fence!",0,0
54,0,It is very cute. How many bed rooms?,5,5
55,0,"It has 2, but you can convert the office into 3 if you need to.",0,0
56,0,How many baths?,5,5
57,0,It has 1 full bath in the master bedroom and 1/2 bath in the hallway.,0,0
58,0,Ok. I have looked up comps in the area and I feel like a more fair price for this is 2000,2,2
59,0,"That is a fair price, however, I am willing to allow pets, which no one has ever offered before, plus I will pay your closing costs.  How does 2795 sound?",6,6
60,0,That really is far out of my reach. How about 2100,7,4
61,0,Is there any incentive I can offer to get the price to 2500?,4,4
62,0,I have excellent credit and references and am willing to sign a 24 month lease.,0,0
63,0,2100 is a good price.  I agree,0,0
64,0,hello,0,0
65,0,hi what are the benefits on this location,5,0
66,0,"well it's a gated community, laundry and pool on site, it's very close to shopping and restaurants and close access to the freeway",0,0
67,0,I like the area but the price is way out of my range,7,7
68,0,what price is in your range,0,0
69,0,1275 would be good for me to try it out,5,4
70,0,"I cannot accept 1275 that's way to low, the least i can accept would be 1995.  this is an exclusive area with many ammenities.",2,3
71,0,"way too far for my budget , 1995 is still too high for me",7,7
72,0,I could go for a month to month lease at 1574,6,6
73,0,what can you offer me with that price,5,0
74,0,It would be the same apartment just on a month to month lease.,0,0
75,0,"ok let round it to 1500 and let me sign the contract, deal",3,3
