,B2,B4,Turn,Unit,er_label_1,ee_label_1,er_label_2,ee_label_2,neg,neu,pos
0,20180719-210146_172_live,0,0,Hello.,greeting,,,,0,1,0
1,20180719-210146_172_live,0,0,How are you?,greeting,,,,0,1,0
2,20180719-210146_172_live,1,0,"I'm good, how are you doing?",,greeting,,,0,0.633,0.367
3,20180719-210146_172_live,0,1,Very well.,greeting,,,,0,0.295,0.705
4,20180719-210146_172_live,0,1,I'm just up organizing info for my charity.,other,,,,0,0.714,0.286
5,20180719-210146_172_live,0,1,Are you involved with charities?,task-related-inquiry,,,,0,0.556,0.444
6,20180719-210146_172_live,1,1,Yes!,,positive-to-inquiry,,,0,0,1
7,20180719-210146_172_live,1,1,I work with children who have terminal illnesses.,,positive-to-inquiry,,,0.348,0.652,0
8,20180719-210146_172_live,1,1,What charity are you involved in?,,task-related-inquiry,,,0,0.641,0.359
9,20180719-210146_172_live,0,2,That's great!,acknowledgement,,,,0,0.185,0.815
10,20180719-210146_172_live,0,2,I help with Save The Children.,neutral-to-inquiry,,,,0,0.337,0.663
11,20180719-210146_172_live,1,2,Amazing!,,acknowledgement,,,0,0,1
12,20180719-210146_172_live,1,2,Working with kids is the best.,,positive-reaction-to-donation,,,0,0.543,0.457
13,20180719-210146_172_live,1,2,What do you do for Save the Children?,,task-related-inquiry,,,0,0.686,0.314
14,20180719-210146_172_live,0,3,I help raise donations and volunteer time.,neutral-to-inquiry,,,,0,0.649,0.351
15,20180719-210146_172_live,1,3,That's so important.,,acknowledgement,,,0,0.489,0.511
16,20180719-210146_172_live,1,3,How do you raise donations?,,task-related-inquiry,,,0,1,0
17,20180719-210146_172_live,0,4,By directly asking for aid.,neutral-to-inquiry,,,,0,1,0
18,20180719-210146_172_live,0,4,Do you currently donate to your charity?,task-related-inquiry,,,,0,0.682,0.318
19,20180719-210146_172_live,1,4,"Yes I do, but I'm happy to donate to yours as well!",,agree-donation,,positive-to-inquiry,0,0.448,0.552
20,20180719-210146_172_live,0,5,Wonderful!,acknowledgement,,,,0,0,1
21,20180719-210146_172_live,0,5,Would you be will to donate $1.00 of your task money to help Save the Children?,proposition-of-donation,,,,0,0.704,0.296
22,20180719-210146_172_live,0,5,"Save The Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",credibility-appeal,,,,0,0.533,0.467
23,20180719-210146_172_live,1,5,"Yes, I would be happy to!",,agree-donation,,,0,0.31,0.69
24,20180719-210146_172_live,0,6,Would $2.00 be too much to ask?,ask-donate-more,,,,0,1,0
25,20180719-210146_172_live,1,6,"No, I can do it.",,agree-donation,,,0.423,0.577,0
26,20180719-210146_172_live,0,7,Thank you.,thank,,,,0,0.286,0.714
27,20180719-210146_172_live,0,7,Can we make it $1.50?,confirm-donation,,,,0,1,0
28,20180719-210146_172_live,0,7,These children really need the assistance.,logical-appeal,,,,0,1,0
29,20180719-210146_172_live,1,7,$1.50 sounds good then.,,provide-donation-amount,,,0,0.508,0.492
30,20180719-210146_172_live,0,8,Why not $1.75 then? :-),ask-donate-more,,,,0.329,0.671,0
31,20180719-210146_172_live,1,8,I can do $2.00!,,provide-donation-amount,,,0,1,0
32,20180719-210146_172_live,1,8,Happy to help.,,positive-reaction-to-donation,,,0,0.135,0.865
33,20180719-210146_172_live,0,9,Thank you so much!,thank,,,,0,0.518,0.482
34,20180719-210146_172_live,0,9,Do you have any more questions for me?,task-related-inquiry,,,,0,1,0
35,20180719-210146_172_live,1,9,Nope.,,negative-to-inquiry,,,0,1,0
36,20180719-210146_172_live,1,9,Thank you!,,thank,,,0,0.264,0.736
37,20180723-042344_940_live,0,0,How much money do you spend daily on extras like a coffee or treat?,personal-related-inquiry,,,,0,0.679,0.321
38,20180723-042344_940_live,1,0,"I spend about 5 dollars a day, you?",,neutral-reaction-to-donation,,personal-related-inquiry,0,1,0
39,20180723-042344_940_live,0,1,About 1 dollar per day.,neutral-to-inquiry,,,,0,1,0
40,20180723-042344_940_live,0,1,Do you think that amount of money would make a difference in a needy child's life?,task-related-inquiry,,,,0.156,0.844,0
41,20180723-042344_940_live,1,1,I think it would in many places,,positive-to-inquiry,,,0,1,0
42,20180723-042344_940_live,0,2,I agree.,acknowledgement,,,,0,0,1
43,20180723-042344_940_live,0,2,Are you familiar with a charity called Save the Children?,source-related-inquiry,,,,0,0.538,0.462
44,20180723-042344_940_live,1,2,No i am not can you explain?,,negative-to-inquiry,,,0.306,0.694,0
45,20180723-042344_940_live,0,3,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",credibility-appeal,,,,0,0.533,0.467
46,20180723-042344_940_live,1,3,Wow thats great.,,acknowledgement,,,0,0.112,0.888
47,20180723-042344_940_live,1,3,How can I help?,,task-related-inquiry,,,0,0.426,0.574
48,20180723-042344_940_live,0,4,"We can help by making a donation which is essential to help ensuring children's rights to health, education, safety, etc.",donation-information,,,,0,0.593,0.407
49,20180723-042344_940_live,1,4,Thank you.,,thank,,,0,0.286,0.714
50,20180723-042344_940_live,1,4,How do i donate?,,ask-donation-procedure,,,0,1,0
51,20180723-042344_940_live,0,5,You can donate by choosing an amount of your task payment from $0 to all.,donation-information,,,,0,1,0
52,20180723-042344_940_live,1,5,Ok i will donate some,,agree-donation,,,0,0.577,0.423
53,20180723-042344_940_live,0,6,That's great!,acknowledgement,,,,0,0.185,0.815
54,20180723-042344_940_live,0,6,The monies will go to a worthy cause.,foot-in-the-door,,,,0,0.674,0.326
55,20180723-042344_940_live,0,6,Every little bit helps.,foot-in-the-door,,,,0,0.564,0.436
56,20180723-042344_940_live,1,6,Tha k you so much for the infkrmation,,thank,,,0,1,0
57,20180723-042344_940_live,0,7,You are welcome.,you-are-welcome,,,,0,0.4,0.6
58,20180723-042344_940_live,1,7,I will donate 10 cents,,provide-donation-amount,,,0,1,0
59,20180723-042344_940_live,0,8,Any chance you would consider making a greater donation?,ask-donate-more,,,,0,0.571,0.429
60,20180723-042344_940_live,1,8,That is all i can afford,,disagree-donation,,,0,1,0
61,20180723-042344_940_live,0,9,It is automatically deducted from your task payment.,donation-information,,,,0,1,0
62,20180723-042344_940_live,0,9,It will be collected by the research team and sent to Save the Children.,donation-information,,,,0,0.802,0.198
63,20180723-042344_940_live,0,9,Thank you for your contribution!,thank,,,,0,0.589,0.411
64,20180723-042344_940_live,1,9,Tha k you for my awareness,,thank,,,0,1,0
65,20180723-042421_113_live,0,0,This site Helps many child,credibility-appeal,,,,0,0.606,0.394
66,20180723-042421_113_live,1,0,What kind of children does it help?,,ask-donation-procedure,,,0,0.69,0.31
67,20180723-042421_113_live,0,1,Their motto is to help children's future...that every child deserves a future,credibility-appeal,,,,0,0.787,0.213
68,20180723-042421_113_live,1,1,What is the name of the organization?,,ask-org-info,,,0,1,0
69,20180723-042421_113_live,0,2,Save the Children,credibility-appeal,,,,0,0.385,0.615
70,20180723-042421_113_live,1,2,How do they help children?,,ask-org-info,,,0,0.597,0.403
71,20180723-042421_113_live,1,2,Food?,,other,,,0,1,0
72,20180723-042421_113_live,1,2,Clothing?,,other,,,0,1,0
73,20180723-042421_113_live,1,2,Shelter?,,other,,,0,1,0
74,20180723-042421_113_live,1,2,Education?,,other,,,0,1,0
75,20180723-042421_113_live,0,3,They help in the children's basic need like food and clothing.,credibility-appeal,,,,0,0.634,0.366
76,20180723-042421_113_live,0,3,They help in whatever it takes for children to transforming their lives and the future,credibility-appeal,,,,0,0.838,0.162
77,20180723-042421_113_live,1,3,Is this charity local?,,ask-org-info,,,0,0.517,0.483
78,20180723-042421_113_live,1,3,global?,,other,,,0,1,0
79,20180723-042421_113_live,1,3,Just in my country (United States)?,,other,,,0,1,0
80,20180723-042421_113_live,0,4,This charity is from Fairfield Town in Connecticut,credibility-appeal,,,,0,0.714,0.286
81,20180723-042421_113_live,1,4,"I think  it's important to support initiatives to help children get a good education, and have the things they need to go to school and learn.",,positive-reaction-to-donation,,,0,0.664,0.336
82,20180723-042421_113_live,1,4,How much should we donate?,,ask-donation-procedure,,,0,1,0
83,20180723-042421_113_live,0,5,Ya.. It's very important.,positive-to-inquiry,,,,0,0.589,0.411
84,20180723-042421_113_live,0,5,"There are many way to donate money like one time gift, Monthly donor, and sponsorship for some children.",neutral-to-inquiry,,,,0,0.748,0.252
