B2,B3,B4,B5,B6,B7
20180717-200206_41_live,A272X64FOZFYLB,0,,0.5,10
20180717-200206_41_live,A3JLE2LJ5I17E2,1,0.5,0.5,10
20180719-120436_413_live,AU7A3QNJF3O00,0,,0,10
20180719-120436_413_live,A5NE8TWS8ZV7B,1,,0,10
20180719-122534_38_live,A125KW9P18V5Z1,0,,0,11
20180719-122534_38_live,A2T007HZK66WM,1,5,0.5,11
20180719-165941_192_live,A5NE8TWS8ZV7B,0,,0,10
20180719-165941_192_live,A290OV59Q76QC8,1,50,0,10
20180719-175233_833_live,A5NE8TWS8ZV7B,0,,0,10
20180719-175233_833_live,A2GV9WSNSPX53,1,,0.05,10
20180719-181845_211_live,A2UIGDOLX5RV95,0,20,0,11
20180719-181845_211_live,A5NE8TWS8ZV7B,1,20,0,11
20180719-182453_233_live,AP3L9UKTTG6D2,0,,0,10
20180719-182453_233_live,A3SGR153YCJ1XN,1,10,0,10
20180719-202443_897_live,A5NE8TWS8ZV7B,0,,0,10
20180719-202443_897_live,A27GHKQVQ0EC6F,1,1,1,10
20180719-204358_391_live,A5NE8TWS8ZV7B,0,,0,10
20180719-204358_391_live,AMH8XB95PX2NA,1,0.5,0,10
20180719-210146_172_live,A3W2TEQC53S3WW,0,,0.25,10
20180719-210146_172_live,A3PJAHAD5YO67C,1,2,0,10
20180719-211253_768_live,A5NE8TWS8ZV7B,0,,0,11
20180719-211253_768_live,A3C46LJ7P8YIO0,1,0.5,0.5,11
20180719-211301_463_live,A1T5MU5S5O2GO7,0,,0,11
20180719-211301_463_live,A286H1M66CL5ZI,1,5,0,11
20180719-211846_176_live,A2CF1L6HQ4CCC,0,,0,10
20180719-211846_176_live,A27MJOV91GA8R3,1,1.5,0,10
20180723-025150_733_live,A3774HPOUKYTX7,0,,0.2,10
20180723-025150_733_live,AVA6HLQVY2T01,1,0.2,0.2,10
20180723-031022_254_live,A2F2DDH12YU4AK,0,,0,10
20180723-031022_254_live,A3B2H4HGSP6JCF,1,5,1,10
20180723-034109_263_live,A1FTTOECAA04JO,0,,0,11
20180723-034109_263_live,A2ZHLWNAHFS71G,1,1,1,11
20180723-034654_121_live,A34SD1FM76TW98,0,,0,11
20180723-034654_121_live,A2WLTPBX05TW6D,1,1,0,11
20180723-040634_575_live,A36IYIE23IO4HE,0,,0,10
20180723-040634_575_live,AZCGSVDT79E6X,1,1.25,1.25,10
20180723-042226_724_live,AVA6HLQVY2T01,0,,0,11
20180723-042226_724_live,A1RGD548VIVY96,1,,0.5,11
20180723-042342_809_live,AEXF5EUX32U0M,0,,0,11
20180723-042342_809_live,A2UTV66F2E69A6,1,,0,11
20180723-042344_940_live,A1SJF7BZ0RXKIM,0,,0,10
20180723-042344_940_live,A35CL66BEUSJ5Z,1,0.1,0,10
20180723-042421_113_live,A321YWMP74ULKH,0,36,0.5,10
20180723-042421_113_live,A175PJR0W3LO8I,1,36,0,10
20180723-044617_32_live,A3D7JEGMSYKCUJ,0,,0,11
