,Index,User,Text,Face acts
228,C_3ae4537d69144ebf839fb1e6e1d69d00,0,Hi there... I am interested ..,
229,C_3ae4537d69144ebf839fb1e6e1d69d00,1,Ok! So what is your price?,
230,C_3ae4537d69144ebf839fb1e6e1d69d00,0,"well I see they say new, so they have never been used?",
231,C_3ae4537d69144ebf839fb1e6e1d69d00,1,Nope! Item is brand new! I am asking $10 for it!,
232,C_3ae4537d69144ebf839fb1e6e1d69d00,0,I am on a budget I was hoping to pay $7.,
233,C_3ae4537d69144ebf839fb1e6e1d69d00,1,Well it is brand! How about $8.,
234,C_3ae4537d69144ebf839fb1e6e1d69d00,0,are there any other perks to this?,
235,C_3ae4537d69144ebf839fb1e6e1d69d00,1,It is compatible with many RIM Blackberry Smartphone PDA models. Is there a particular model you are trying to use the headset for? I can tell you if it is compatible!,
236,C_3ae4537d69144ebf839fb1e6e1d69d00,0,I am just trying to figure out if I GO ABOVE MY BUDGET I AM GETTING A REALLY GOOD QUALITY PRODUCT.,
237,C_3ae4537d69144ebf839fb1e6e1d69d00,1,Well I don't know what else to tell you! My asking price is $10 but I am willing to go down to $8. It is brand new never before used.,
238,C_3ae4537d69144ebf839fb1e6e1d69d00,0,OKAY DEAL,
239,C_3ae4537d69144ebf839fb1e6e1d69d00,1,Ok. Thanks!,
240,C_5adcf08c93e54eda8277970bf545117b,0,"ima give it to u straight mang, u over priced this big time",
241,C_5adcf08c93e54eda8277970bf545117b,1,"Well, I certainly disagree. Do you have a price in mind?",
242,C_5adcf08c93e54eda8277970bf545117b,0,i was like i give u $20,
243,C_5adcf08c93e54eda8277970bf545117b,1,"Well that's certainly not going to work. I'm willing to negotiate but you need to be serious with your offer. These are high quality binoculars that can take pictures, video, and have built in wi-fi.",
244,C_5adcf08c93e54eda8277970bf545117b,0,"i know these bad to peep on me neighor mang, she's hot",
245,C_5adcf08c93e54eda8277970bf545117b,1,"The purpose for which you choose to use these is up to you, though I'm not going to be able to sell them if you admit you're interested in using them for an illegal purpose such as peeping. Are you interested in purchasing these or not?",
246,C_5adcf08c93e54eda8277970bf545117b,0,"im very, very interesting in purchasing, for some bird watching *wink wink*. i'l lgive you 150",
247,C_5adcf08c93e54eda8277970bf545117b,1,That's less than half of what they're listed at. I'm willing to go to $300.,
248,C_5adcf08c93e54eda8277970bf545117b,0,"woah, that's still really high. can you help me out to like 200 at least?",
249,C_5adcf08c93e54eda8277970bf545117b,1,"I'm willing to meet in the middle at $250, but no lower. That's more than $100 off the list price.",
250,C_5adcf08c93e54eda8277970bf545117b,0,"you gotta work with me here, i'll go to 220. that's a good deal for u",
251,C_5adcf08c93e54eda8277970bf545117b,1,"Sorry, I don't think we're going to make a deal here.",
252,C_5adcf08c93e54eda8277970bf545117b,0,"ok ok ok , i'll give u 225",
253,C_5adcf08c93e54eda8277970bf545117b,1,I'm really not interested in going lower than $250. I'll add a 2G SD card in the deal if you'll come up to $250.,
254,C_5adcf08c93e54eda8277970bf545117b,0,"oh dang, now you got my attention. ima be able to save so many pictures of these ""birds",
255,C_31d34bf86f39428a9936414b7c40b940,0,Hi there,
256,C_31d34bf86f39428a9936414b7c40b940,1,"This is an awesome bike, would you like to make an offer",
257,C_31d34bf86f39428a9936414b7c40b940,0,I am interested but am on a limited budget..,
258,C_31d34bf86f39428a9936414b7c40b940,1,"This is a really high end bike, so keep that in mind, I already have the bike listed far below actual value",
259,C_31d34bf86f39428a9936414b7c40b940,0,How old is this bike?,
260,C_31d34bf86f39428a9936414b7c40b940,1,"I just bought it last year, but I broke my hip a few weeks ago and doctor said I'd never be able to ride it again",
261,C_31d34bf86f39428a9936414b7c40b940,0,woudl you be willing to take 360,
262,C_31d34bf86f39428a9936414b7c40b940,1,"No, I need the money to pay my medical bills. Thanks Obama",
263,C_31d34bf86f39428a9936414b7c40b940,0,The max I can do is $400.,
264,C_31d34bf86f39428a9936414b7c40b940,1,"I'm sorry, I can't go that low. The bmc compact road bars are worth that by themselves.",
265,C_31d34bf86f39428a9936414b7c40b940,0,what is yoru lowest price?,
266,C_31d34bf86f39428a9936414b7c40b940,1,"I can go down to $575, but that is my bottom dollar",
267,C_31d34bf86f39428a9936414b7c40b940,0,sorry that is just too much for my range.,
268,C_7e4796a456cc4f839138759450923492,0,"Hi, is this item spacious?",
269,C_7e4796a456cc4f839138759450923492,1,"yo, this thing is really sweet, but my kids just out grew it.",
270,C_7e4796a456cc4f839138759450923492,0,Yeah its pretty interesting. Do the kids enjoy it?,
